organization_name,industry,size,region,energy_use_level,emissions_maturity,certifications,disclosure_level,goals,certifications_str,goals_str,target_stage,target_framework_slug,target_score
Synthetic Org #56,construction,250-1000,latam,very-high,advanced,['iso-14064'],none,[],iso-14064,,manage,iso-14001,93
Synthetic Org #57,transport,50-250,na,high,basic,[],full,['sbti'],,sbti,improve,sbti,96
Synthetic Org #58,construction,1000-5000,apac,moderate,advanced,[],none,"['renewables', 'sdg']",,"renewables,sdg",manage,iso-14001,92
Synthetic Org #59,financial,1000-5000,uk,low,none,['iso-14001'],partial,"['renewables', 'stakeholder-trust', 'net-zero']",iso-14001,"renewables,stakeholder-trust,net-zero",measure,ghg-protocol,99
Synthetic Org #60,technology,250-1000,latam,very-high,basic,"['iso-50001', 'iso-14064', 'iso-14001']",full,['renewables'],"iso-50001,iso-14064,iso-14001",renewables,measure,ghg-protocol,86
Synthetic Org #61,agriculture,1-50,uk,high,advanced,['iso-50001'],full,"['sbti', 'net-zero']",iso-50001,"sbti,net-zero",improve,sbti,97
Synthetic Org #62,consumer-goods,5000+,india,low,none,['iso-50001'],full,"['sbti', 'net-zero']",iso-50001,"sbti,net-zero",measure,ghg-protocol,98
Synthetic Org #63,transport,1000-5000,na,moderate,basic,['iso-14064'],partial,['renewables'],iso-14064,renewables,manage,iso-14001,90
Synthetic Org #64,transport,1-50,uk,low,advanced,[],full,['sbti'],,sbti,improve,sbti,96
Synthetic Org #65,energy,1-50,latam,low,none,[],none,"['sbti', 'stakeholder-trust', 'net-zero']",,"sbti,stakeholder-trust,net-zero",measure,ghg-protocol,96
Synthetic Org #66,agriculture,1-50,india,moderate,basic,['iso-45001'],full,['stakeholder-trust'],iso-45001,stakeholder-trust,report,brsr,94
Synthetic Org #67,healthcare,1-50,latam,moderate,basic,"['iso-14001', 'iso-50001']",none,"['renewables', 'stakeholder-trust', 'sdg']","iso-14001,iso-50001","renewables,stakeholder-trust,sdg",measure,ghg-protocol,87
Synthetic Org #68,construction,1-50,india,moderate,none,['iso-14001'],full,"['net-zero', 'sdg', 'renewables']",iso-14001,"net-zero,sdg,renewables",improve,sbti,95
Synthetic Org #69,consumer-goods,250-1000,global,high,none,['iso-14001'],partial,"['sdg', 'renewables']",iso-14001,"sdg,renewables",measure,ghg-protocol,96
Synthetic Org #70,chemicals,1000-5000,eu,high,advanced,['iso-14064'],full,"['stakeholder-trust', 'sdg']",iso-14064,"stakeholder-trust,sdg",report,csrd,95
Synthetic Org #71,technology,50-250,latam,low,basic,[],partial,"['stakeholder-trust', 'renewables']",,"stakeholder-trust,renewables",measure,ghg-protocol,85
Synthetic Org #72,technology,1-50,uk,high,none,[],partial,['sdg'],,sdg,measure,ghg-protocol,98
Synthetic Org #73,technology,250-1000,india,high,advanced,"['iso-50001', 'iso-14001']",none,['renewables'],"iso-50001,iso-14001",renewables,report,brsr,97
Synthetic Org #74,agriculture,5000+,latam,moderate,advanced,"['iso-14064', 'iso-50001', 'iso-14001']",partial,[],"iso-14064,iso-50001,iso-14001",,report,issb,81
Synthetic Org #75,transport,50-250,uk,moderate,basic,"['iso-45001', 'iso-50001']",full,"['stakeholder-trust', 'sdg', 'sbti']","iso-45001,iso-50001","stakeholder-trust,sdg,sbti",improve,sbti,94
Synthetic Org #76,financial,250-1000,na,very-high,basic,['iso-50001'],partial,[],iso-50001,,measure,ghg-protocol,90
Synthetic Org #77,construction,250-1000,global,moderate,none,"['iso-14064', 'iso-50001', 'iso-45001']",none,[],"iso-14064,iso-50001,iso-45001",,measure,ghg-protocol,99
Synthetic Org #78,construction,250-1000,eu,high,none,[],partial,"['sbti', 'sdg', 'net-zero']",,"sbti,sdg,net-zero",measure,ghg-protocol,99
Synthetic Org #79,manufacturing,5000+,na,moderate,advanced,[],partial,[],,,manage,iso-14001,92
Synthetic Org #80,healthcare,250-1000,uk,very-high,basic,[],partial,[],,,measure,ghg-protocol,85
Synthetic Org #81,transport,1000-5000,global,low,basic,[],partial,"['net-zero', 'sbti', 'stakeholder-trust']",,"net-zero,sbti,stakeholder-trust",improve,sbti,94
Synthetic Org #82,healthcare,250-1000,global,moderate,none,['iso-50001'],full,"['renewables', 'stakeholder-trust', 'sbti']",iso-50001,"renewables,stakeholder-trust,sbti",improve,sbti,97
Synthetic Org #83,transport,5000+,uk,high,advanced,[],full,"['net-zero', 'sbti', 'sdg']",,"net-zero,sbti,sdg",manage,iso-14001,95
Synthetic Org #84,construction,250-1000,apac,low,none,[],none,"['net-zero', 'sbti', 'stakeholder-trust']",,"net-zero,sbti,stakeholder-trust",measure,ghg-protocol,99
Synthetic Org #85,consumer-goods,1000-5000,apac,very-high,basic,[],none,['sdg'],,sdg,measure,ghg-protocol,91
Synthetic Org #86,agriculture,1-50,apac,moderate,basic,"['iso-50001', 'iso-14064']",full,[],"iso-50001,iso-14064",,measure,ghg-protocol,85
Synthetic Org #87,financial,50-250,apac,moderate,basic,[],none,[],,,measure,ghg-protocol,93
Synthetic Org #88,chemicals,250-1000,india,high,basic,['iso-45001'],none,"['sdg', 'renewables']",iso-45001,"sdg,renewables",report,brsr,92
Synthetic Org #89,agriculture,1-50,india,low,basic,['iso-45001'],full,[],iso-45001,,report,brsr,91
Synthetic Org #90,energy,50-250,apac,low,advanced,"['iso-14001', 'iso-14064']",partial,"['stakeholder-trust', 'renewables']","iso-14001,iso-14064","stakeholder-trust,renewables",report,tcfd,73
Synthetic Org #91,transport,50-250,india,very-high,advanced,[],partial,"['sdg', 'renewables']",,"sdg,renewables",report,brsr,90
Synthetic Org #92,technology,250-1000,apac,low,none,['iso-14064'],partial,['renewables'],iso-14064,renewables,measure,ghg-protocol,98
Synthetic Org #93,financial,1-50,uk,low,basic,['iso-14001'],partial,"['stakeholder-trust', 'net-zero']",iso-14001,"stakeholder-trust,net-zero",improve,sbti,95
Synthetic Org #94,financial,1000-5000,uk,low,none,['iso-14064'],full,"['net-zero', 'sbti']",iso-14064,"net-zero,sbti",measure,ghg-protocol,99
Synthetic Org #95,transport,5000+,eu,high,basic,['iso-14001'],full,[],iso-14001,,measure,ghg-protocol,91
Synthetic Org #96,healthcare,50-250,apac,moderate,basic,[],full,"['renewables', 'net-zero', 'stakeholder-trust']",,"renewables,net-zero,stakeholder-trust",improve,sbti,95
Synthetic Org #97,energy,1000-5000,global,moderate,basic,['iso-45001'],full,"['renewables', 'stakeholder-trust']",iso-45001,"renewables,stakeholder-trust",manage,iso-14001,93
Synthetic Org #98,construction,1000-5000,india,moderate,basic,"['iso-50001', 'iso-14001']",none,['renewables'],"iso-50001,iso-14001",renewables,measure,ghg-protocol,89
Synthetic Org #99,technology,5000+,na,low,basic,['iso-14064'],full,['renewables'],iso-14064,renewables,measure,ghg-protocol,84
Synthetic Org #100,financial,1000-5000,na,high,advanced,['iso-14064'],full,['sbti'],iso-14064,sbti,improve,sbti,96
Synthetic Org #101,construction,5000+,uk,moderate,basic,['iso-14064'],none,"['renewables', 'sbti']",iso-14064,"renewables,sbti",improve,sbti,97
Synthetic Org #102,agriculture,1-50,eu,high,none,[],partial,"['renewables', 'net-zero', 'sdg']",,"renewables,net-zero,sdg",measure,ghg-protocol,99
Synthetic Org #103,chemicals,1000-5000,latam,moderate,none,['iso-45001'],partial,"['renewables', 'net-zero', 'sbti']",iso-45001,"renewables,net-zero,sbti",measure,ghg-protocol,95
Synthetic Org #104,financial,1000-5000,na,very-high,advanced,"['iso-14001', 'iso-14064']",none,['sbti'],"iso-14001,iso-14064",sbti,improve,sbti,98
Synthetic Org #105,energy,1000-5000,global,low,basic,"['iso-45001', 'iso-14001', 'iso-14064']",none,['net-zero'],"iso-45001,iso-14001,iso-14064",net-zero,improve,sbti,98
Synthetic Org #106,transport,250-1000,na,very-high,none,"['iso-14064', 'iso-45001']",none,['sbti'],"iso-14064,iso-45001",sbti,measure,ghg-protocol,97
Synthetic Org #107,chemicals,1-50,india,very-high,advanced,[],full,"['stakeholder-trust', 'sbti']",,"stakeholder-trust,sbti",improve,sbti,94
Synthetic Org #108,construction,1000-5000,apac,high,basic,"['iso-14001', 'iso-50001', 'iso-45001']",partial,"['sbti', 'net-zero', 'stakeholder-trust']","iso-14001,iso-50001,iso-45001","sbti,net-zero,stakeholder-trust",improve,sbti,91
Synthetic Org #109,technology,5000+,na,very-high,advanced,['iso-45001'],partial,['renewables'],iso-45001,renewables,improve,renewable-energy-plan,79
Synthetic Org #110,agriculture,1-50,eu,very-high,advanced,"['iso-45001', 'iso-14064']",partial,['net-zero'],"iso-45001,iso-14064",net-zero,improve,sbti,94
Synthetic Org #111,consumer-goods,250-1000,global,low,advanced,['iso-45001'],full,['stakeholder-trust'],iso-45001,stakeholder-trust,report,gri,85
Synthetic Org #112,technology,50-250,apac,moderate,advanced,"['iso-50001', 'iso-45001', 'iso-14001']",partial,[],"iso-50001,iso-45001,iso-14001",,report,tcfd,73
Synthetic Org #113,transport,1000-5000,global,high,advanced,[],none,['sdg'],,sdg,manage,iso-14001,91
Synthetic Org #114,consumer-goods,50-250,eu,moderate,advanced,"['iso-45001', 'iso-14001']",partial,['renewables'],"iso-45001,iso-14001",renewables,report,csrd,86
Synthetic Org #115,transport,250-1000,latam,low,basic,[],none,['renewables'],,renewables,measure,ghg-protocol,92
Synthetic Org #116,financial,250-1000,global,very-high,none,"['iso-14001', 'iso-50001']",partial,['sdg'],"iso-14001,iso-50001",sdg,measure,ghg-protocol,96
Synthetic Org #117,healthcare,1000-5000,latam,high,none,[],full,"['net-zero', 'sdg']",,"net-zero,sdg",measure,ghg-protocol,97
Synthetic Org #118,healthcare,50-250,apac,low,advanced,"['iso-45001', 'iso-14064', 'iso-50001']",partial,[],"iso-45001,iso-14064,iso-50001",,measure,ghg-protocol,74
Synthetic Org #119,chemicals,1-50,global,high,basic,[],none,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,88
Synthetic Org #120,chemicals,1000-5000,uk,high,advanced,"['iso-14064', 'iso-45001', 'iso-14001']",full,"['net-zero', 'renewables']","iso-14064,iso-45001,iso-14001","net-zero,renewables",improve,sbti,92
Synthetic Org #121,healthcare,1000-5000,na,low,advanced,[],partial,"['renewables', 'sbti']",,"renewables,sbti",improve,sbti,93
Synthetic Org #122,technology,1-50,apac,high,advanced,['iso-14001'],full,"['sdg', 'sbti']",iso-14001,"sdg,sbti",improve,sbti,97
Synthetic Org #123,energy,1000-5000,global,moderate,advanced,"['iso-14001', 'iso-14064']",full,['sbti'],"iso-14001,iso-14064",sbti,improve,sbti,96
Synthetic Org #124,chemicals,5000+,eu,low,advanced,"['iso-50001', 'iso-14001']",none,['sbti'],"iso-50001,iso-14001",sbti,report,csrd,95
Synthetic Org #125,healthcare,1-50,na,moderate,none,['iso-50001'],full,[],iso-50001,,measure,ghg-protocol,98
Synthetic Org #126,manufacturing,50-250,global,high,none,['iso-14001'],full,['sdg'],iso-14001,sdg,measure,ghg-protocol,95
Synthetic Org #127,manufacturing,50-250,apac,very-high,advanced,"['iso-14001', 'iso-50001', 'iso-45001']",none,['stakeholder-trust'],"iso-14001,iso-50001,iso-45001",stakeholder-trust,report,tcfd,73
Synthetic Org #128,healthcare,1-50,uk,moderate,advanced,"['iso-45001', 'iso-50001', 'iso-14001']",none,[],"iso-45001,iso-50001,iso-14001",,measure,ghg-protocol,78
Synthetic Org #129,agriculture,1000-5000,uk,low,basic,['iso-14001'],full,[],iso-14001,,measure,ghg-protocol,85
Synthetic Org #130,technology,5000+,eu,low,none,"['iso-45001', 'iso-50001']",partial,"['stakeholder-trust', 'sdg', 'sbti']","iso-45001,iso-50001","stakeholder-trust,sdg,sbti",improve,sbti,96
Synthetic Org #131,financial,5000+,uk,low,advanced,"['iso-50001', 'iso-14064', 'iso-45001']",none,['renewables'],"iso-50001,iso-14064,iso-45001",renewables,report,issb,82
Synthetic Org #132,technology,1000-5000,uk,very-high,advanced,['iso-14064'],none,['sdg'],iso-14064,sdg,report,issb,85
Synthetic Org #133,technology,50-250,apac,very-high,none,[],none,[],,,measure,ghg-protocol,94
Synthetic Org #134,consumer-goods,1-50,apac,high,none,[],full,"['stakeholder-trust', 'sdg', 'renewables']",,"stakeholder-trust,sdg,renewables",measure,ghg-protocol,96
Synthetic Org #135,energy,1000-5000,na,very-high,advanced,['iso-45001'],none,['net-zero'],iso-45001,net-zero,improve,sbti,93
Synthetic Org #136,healthcare,5000+,eu,moderate,advanced,[],partial,[],,,report,csrd,91
Synthetic Org #137,technology,5000+,na,low,basic,[],full,"['stakeholder-trust', 'net-zero']",,"stakeholder-trust,net-zero",improve,sbti,93
Synthetic Org #138,healthcare,250-1000,global,moderate,basic,['iso-45001'],full,['net-zero'],iso-45001,net-zero,improve,sbti,91
Synthetic Org #139,chemicals,50-250,india,very-high,none,"['iso-14001', 'iso-14064', 'iso-45001']",none,"['renewables', 'stakeholder-trust']","iso-14001,iso-14064,iso-45001","renewables,stakeholder-trust",measure,ghg-protocol,98
Synthetic Org #140,technology,50-250,na,high,advanced,"['iso-14001', 'iso-14064']",partial,['sbti'],"iso-14001,iso-14064",sbti,improve,sbti,94
Synthetic Org #141,healthcare,1-50,apac,low,basic,"['iso-14064', 'iso-50001', 'iso-45001']",partial,"['sdg', 'sbti']","iso-14064,iso-50001,iso-45001","sdg,sbti",improve,sbti,90
Synthetic Org #142,financial,1-50,na,very-high,none,"['iso-14064', 'iso-45001', 'iso-50001']",partial,[],"iso-14064,iso-45001,iso-50001",,measure,ghg-protocol,97
Synthetic Org #143,construction,1000-5000,india,low,none,['iso-50001'],none,['sdg'],iso-50001,sdg,measure,ghg-protocol,93
Synthetic Org #144,transport,250-1000,global,low,basic,['iso-50001'],full,['renewables'],iso-50001,renewables,measure,ghg-protocol,91
Synthetic Org #145,financial,50-250,india,high,none,"['iso-14001', 'iso-50001', 'iso-14064']",partial,"['net-zero', 'sdg']","iso-14001,iso-50001,iso-14064","net-zero,sdg",improve,sbti,97
Synthetic Org #146,healthcare,1000-5000,india,very-high,advanced,['iso-45001'],full,[],iso-45001,,report,brsr,93
Synthetic Org #147,consumer-goods,1-50,na,moderate,advanced,"['iso-45001', 'iso-14001', 'iso-50001']",partial,[],"iso-45001,iso-14001,iso-50001",,report,tcfd,73
Synthetic Org #148,construction,1000-5000,india,very-high,advanced,['iso-45001'],none,['sbti'],iso-45001,sbti,manage,iso-14001,93
Synthetic Org #149,technology,50-250,global,low,advanced,[],full,['sdg'],,sdg,report,gri,81
Synthetic Org #150,chemicals,50-250,global,moderate,basic,[],none,"['sbti', 'net-zero', 'renewables']",,"sbti,net-zero,renewables",improve,sbti,91
Synthetic Org #151,agriculture,1000-5000,latam,very-high,advanced,"['iso-45001', 'iso-14064', 'iso-50001']",full,['renewables'],"iso-45001,iso-14064,iso-50001",renewables,report,issb,84
Synthetic Org #152,energy,1000-5000,uk,high,basic,[],full,['stakeholder-trust'],,stakeholder-trust,manage,iso-14001,93
Synthetic Org #153,energy,250-1000,uk,very-high,none,['iso-45001'],none,[],iso-45001,,measure,ghg-protocol,95
Synthetic Org #154,energy,5000+,india,very-high,basic,"['iso-14001', 'iso-50001']",full,"['sbti', 'sdg', 'renewables']","iso-14001,iso-50001","sbti,sdg,renewables",improve,sbti,94
Synthetic Org #155,agriculture,5000+,eu,low,basic,['iso-14001'],none,"['sbti', 'net-zero', 'renewables']",iso-14001,"sbti,net-zero,renewables",improve,sbti,93
Synthetic Org #156,agriculture,1000-5000,india,moderate,basic,['iso-14064'],partial,"['sdg', 'net-zero']",iso-14064,"sdg,net-zero",improve,sbti,93
Synthetic Org #157,technology,1-50,na,low,advanced,['iso-45001'],full,['stakeholder-trust'],iso-45001,stakeholder-trust,report,tcfd,83
Synthetic Org #158,chemicals,250-1000,global,moderate,basic,"['iso-14064', 'iso-14001', 'iso-45001']",partial,['stakeholder-trust'],"iso-14064,iso-14001,iso-45001",stakeholder-trust,measure,ghg-protocol,89
Synthetic Org #159,consumer-goods,250-1000,latam,moderate,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",full,"['sdg', 'net-zero', 'sbti']","iso-14001,iso-45001,iso-50001","sdg,net-zero,sbti",improve,sbti,92
Synthetic Org #160,transport,50-250,eu,high,basic,[],none,['sbti'],,sbti,report,csrd,98
Synthetic Org #161,energy,250-1000,latam,low,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",full,"['sbti', 'renewables', 'net-zero']","iso-14001,iso-45001,iso-50001","sbti,renewables,net-zero",improve,sbti,93
Synthetic Org #162,chemicals,50-250,latam,moderate,advanced,[],partial,"['sdg', 'sbti']",,"sdg,sbti",improve,sbti,92
Synthetic Org #163,agriculture,5000+,na,very-high,none,[],full,['renewables'],,renewables,measure,ghg-protocol,89
Synthetic Org #164,construction,250-1000,apac,very-high,basic,['iso-14064'],partial,['sbti'],iso-14064,sbti,improve,sbti,96
Synthetic Org #165,healthcare,50-250,latam,high,none,['iso-45001'],full,"['net-zero', 'stakeholder-trust', 'sbti']",iso-45001,"net-zero,stakeholder-trust,sbti",measure,ghg-protocol,98
Synthetic Org #166,energy,50-250,na,very-high,advanced,['iso-14001'],none,['renewables'],iso-14001,renewables,manage,iso-50001,83
Synthetic Org #167,technology,1-50,uk,low,basic,['iso-50001'],full,"['net-zero', 'sdg']",iso-50001,"net-zero,sdg",improve,sbti,96
Synthetic Org #168,construction,1-50,na,low,advanced,['iso-50001'],full,['net-zero'],iso-50001,net-zero,improve,sbti,95
Synthetic Org #169,transport,1000-5000,apac,moderate,advanced,['iso-14001'],partial,[],iso-14001,,report,issb,86
Synthetic Org #170,manufacturing,250-1000,eu,moderate,advanced,"['iso-14064', 'iso-14001']",full,['sbti'],"iso-14064,iso-14001",sbti,improve,sbti,96
Synthetic Org #171,transport,1-50,global,moderate,basic,"['iso-14064', 'iso-14001']",full,[],"iso-14064,iso-14001",,measure,ghg-protocol,92
Synthetic Org #172,agriculture,5000+,india,low,advanced,"['iso-50001', 'iso-45001']",full,['sdg'],"iso-50001,iso-45001",sdg,report,brsr,89
Synthetic Org #173,consumer-goods,1-50,india,high,none,['iso-50001'],full,[],iso-50001,,measure,ghg-protocol,95
Synthetic Org #174,financial,250-1000,global,low,basic,[],partial,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",measure,ghg-protocol,86
Synthetic Org #175,manufacturing,250-1000,latam,low,basic,"['iso-14001', 'iso-45001', 'iso-50001']",none,['net-zero'],"iso-14001,iso-45001,iso-50001",net-zero,improve,sbti,96
Synthetic Org #176,technology,5000+,na,moderate,advanced,"['iso-14064', 'iso-45001', 'iso-14001']",partial,['net-zero'],"iso-14064,iso-45001,iso-14001",net-zero,improve,sbti,99
Synthetic Org #177,agriculture,1-50,na,moderate,none,[],none,['sdg'],,sdg,measure,ghg-protocol,90
Synthetic Org #178,financial,1000-5000,latam,very-high,basic,"['iso-50001', 'iso-14064', 'iso-45001']",none,[],"iso-50001,iso-14064,iso-45001",,measure,ghg-protocol,87
Synthetic Org #179,technology,250-1000,global,high,basic,"['iso-14064', 'iso-50001', 'iso-45001']",partial,['renewables'],"iso-14064,iso-50001,iso-45001",renewables,measure,ghg-protocol,91
Synthetic Org #180,agriculture,250-1000,latam,high,none,['iso-14001'],full,"['stakeholder-trust', 'sbti']",iso-14001,"stakeholder-trust,sbti",measure,ghg-protocol,93
